Park,Region,State,Year,Month,Recreation Visits
Acadia,Northeast,ME,2012,January,11930
Acadia,Northeast,ME,2012,February,12388
Acadia,Northeast,ME,2012,March,22684
Acadia,Northeast,ME,2012,April,59471
Acadia,Northeast,ME,2012,May,157406
Acadia,Northeast,ME,2012,June,309198
Acadia,Northeast,ME,2012,July,539234
Acadia,Northeast,ME,2012,August,574307
Acadia,Northeast,ME,2012,September,391810
Acadia,Northeast,ME,2012,October,302932
Acadia,Northeast,ME,2012,November,38385
Acadia,Northeast,ME,2012,December,11307
Acadia,Northeast,ME,2013,January,11249
Acadia,Northeast,ME,2013,February,9869
Acadia,Northeast,ME,2013,March,20631
Acadia,Northeast,ME,2013,April,47090
Acadia,Northeast,ME,2013,May,133653
Acadia,Northeast,ME,2013,June,315791
Acadia,Northeast,ME,2013,July,555308
Acadia,Northeast,ME,2013,August,617306
Acadia,Northeast,ME,2013,September,400400
Acadia,Northeast,ME,2013,October,94904
Acadia,Northeast,ME,2013,November,41181
Acadia,Northeast,ME,2013,December,7540
Acadia,Northeast,ME,2014,January,10459
Acadia,Northeast,ME,2014,February,10258
Acadia,Northeast,ME,2014,March,17502
Acadia,Northeast,ME,2014,April,57211
Acadia,Northeast,ME,2014,May,153013
Acadia,Northeast,ME,2014,June,338845
Acadia,Northeast,ME,2014,July,561073
Acadia,Northeast,ME,2014,August,638152
Acadia,Northeast,ME,2014,September,418173
Acadia,Northeast,ME,2014,October,313920
Acadia,Northeast,ME,2014,November,31013
Acadia,Northeast,ME,2014,December,13510
Acadia,Northeast,ME,2015,January,12578
Acadia,Northeast,ME,2015,February,10626
Acadia,Northeast,ME,2015,March,18062
Acadia,Northeast,ME,2015,April,63214
Acadia,Northeast,ME,2015,May,187205
Acadia,Northeast,ME,2015,June,359661
Acadia,Northeast,ME,2015,July,606597
Acadia,Northeast,ME,2015,August,666767
Acadia,Northeast,ME,2015,September,479320
Acadia,Northeast,ME,2015,October,344362
Acadia,Northeast,ME,2015,November,48912
Acadia,Northeast,ME,2015,December,13880
Acadia,Northeast,ME,2016,January,17204
Acadia,Northeast,ME,2016,February,16530
Acadia,Northeast,ME,2016,March,28121
Acadia,Northeast,ME,2016,April,94199
Acadia,Northeast,ME,2016,May,217147
Acadia,Northeast,ME,2016,June,445410
Acadia,Northeast,ME,2016,July,696854
Acadia,Northeast,ME,2016,August,735945
Acadia,Northeast,ME,2016,September,570434
Acadia,Northeast,ME,2016,October,412416
Acadia,Northeast,ME,2016,November,55022
Acadia,Northeast,ME,2016,December,14111
Acadia,Northeast,ME,2017,January,15520
Acadia,Northeast,ME,2017,February,14342
Acadia,Northeast,ME,2017,March,20936
Acadia,Northeast,ME,2017,April,85267
Acadia,Northeast,ME,2017,May,222978
Acadia,Northeast,ME,2017,June,476191
Acadia,Northeast,ME,2017,July,743529
Acadia,Northeast,ME,2017,August,762436
Acadia,Northeast,ME,2017,September,595388
Acadia,Northeast,ME,2017,October,507594
Acadia,Northeast,ME,2017,November,53006
Acadia,Northeast,ME,2017,December,12084
Acadia,Northeast,ME,2018,January,11974
Acadia,Northeast,ME,2018,February,12167
Acadia,Northeast,ME,2018,March,23756
Acadia,Northeast,ME,2018,April,72858
Acadia,Northeast,ME,2018,May,249050
Acadia,Northeast,ME,2018,June,499163
Acadia,Northeast,ME,2018,July,759165
Acadia,Northeast,ME,2018,August,767219
Acadia,Northeast,ME,2018,September,600397
Acadia,Northeast,ME,2018,October,488204
Acadia,Northeast,ME,2018,November,40930
Acadia,Northeast,ME,2018,December,12692
Acadia,Northeast,ME,2019,January,8532
Acadia,Northeast,ME,2019,February,9154
Acadia,Northeast,ME,2019,March,20161
Acadia,Northeast,ME,2019,April,68046
Acadia,Northeast,ME,2019,May,226156
Acadia,Northeast,ME,2019,June,490720
Acadia,Northeast,ME,2019,July,756439
Acadia,Northeast,ME,2019,August,759735
Acadia,Northeast,ME,2019,September,603273
Acadia,Northeast,ME,2019,October,436194
Acadia,Northeast,ME,2019,November,46011
Acadia,Northeast,ME,2019,December,12865
Acadia,Northeast,ME,2020,January,12640
Acadia,Northeast,ME,2020,February,13459
Acadia,Northeast,ME,2020,March,28539
Acadia,Northeast,ME,2020,April,55713
Acadia,Northeast,ME,2020,May,103120
Acadia,Northeast,ME,2020,June,201156
Acadia,Northeast,ME,2020,July,493971
Acadia,Northeast,ME,2020,August,681746
